date,open,high,low,close,volume,unadjusted,putthrough
2019-10-22,20.6506,20.6506,20.6506,20.6506,3100,21.9000,0
2020-06-23,20.6506,20.6506,20.6506,20.6506,50600,21.9000,0
2020-09-03,20.7000,20.7000,20.7000,20.7000,1000,20.7000,0
2020-11-09,20.7000,20.7000,20.7000,20.7000,11200,20.7000,0
2020-12-07,20.0000,20.0000,20.0000,20.0000,11800,20.0000,0
2020-12-10,23.0000,23.0000,23.0000,23.0000,100,23.0000,0
2020-12-11,26.4000,26.4000,20.0000,26.4000,100,26.4000,1000
2020-12-14,30.3000,30.3000,30.3000,30.3000,100,30.3000,0
2020-12-15,25.8000,34.8000,25.8000,34.8000,4800,34.8000,6100
2020-12-17,26.0000,26.0000,26.0000,26.0000,9800,26.0000,0
2020-12-21,26.0000,26.0000,26.0000,26.0000,1100,26.0000,0
2020-12-23,25.9000,25.9000,25.9000,25.9000,1000,25.9000,0
